id,canonical,classification,provenance_status
CIE 2358,AZAH:O3I:IHITAJ:AMAO,unknown,rejected
CIE 2359,2ANAQ:MYIHITAV A,unknown,rejected
CIE 236,Λ8M:OΛΛ ATAT,unknown,rejected
CIE 2360,A9HMA3 J:JAIHITAJ,unknown,rejected
CIE 2361,LAIHIT:V2 3Y N:OA,unknown,rejected
CIE 2362,JAIHIT:VM3D:J7,unknown,rejected
CIE 2364,AIHMIT+V:V2E9:IHIAJ:E1,unknown,rejected
CIE 2365,A2AH+V+AIHV2E9:IHIAJ:AIQ9AJ OEH:JAIHHHJV,unknown,rejected
CIE 2366,A2V2E9:IHITV:AHAO,unknown,rejected
CIE 2367,I:A2V2E9:IHITAJ:J37,unknown,rejected
CIE 2368,HIAJ:IAHH9E1:A2V2E9:JE1,unknown,rejected
CIE 2369,IAQ9AJ:IAIHITAJ:IHIAJ:IHITAJ:Q9AJ :HIAJ:239I32,unknown,rejected
CIE 2370,IAH2MVO9 IHIAJ AHAO,unknown,rejected
CIE 2372,IAOON:2VNV1:INIAI:3JVA,unknown,rejected
CIE 2373,A2V+JV1:INITAJ:O9AN,unknown,rejected
CIE 2374,a) V93M:3NACVAI:9A b) IAOORA,unknown,rejected
CIE 2376,A2L:VAV:A:J:AN:V:A9M,unknown,rejected
CIE 2377,[3NACVAV:OA],unknown,rejected
CIE 2378,ANAO INAVAV A 2A1A1 A1V1,unknown,rejected
CIE 2379,JXAI:AVAO A2NAMAMA,unknown,rejected
CIE 238,ΛADIMΛR:ΓΛMNE,unknown,rejected
CIE 2380,AIHAJ:VAJ,unknown,rejected
CIE 2381,VⱯMOⱯ VⱯMOⱯ ⱯIMAV ZⱯRV aθ·sal | aθ·sali | laucanias | cicu·stas,unknown,rejected
CIE 2384,:OJ:ƎIИIXOVAI:OJ lθ·laucinie·lθ:,unknown,rejected
CIE 2385,ƎMLVAИ lauxme,unknown,rejected
CIE 2386,IAVΘƎIΛZIƎMVLVAJ:IƎI vel:lauxumes:velsa:petrual,unknown,rejected
CIE 2387,Fania:laphuxumsnei,unknown,rejected
CIE 2388,lauxmsnei,unknown,rejected
CIE 239,AIDA:ΓΛMNA,unknown,rejected
CIE 24,A·CAECINA·SELCIA·ANNOSX,unknown,rejected
CIE 2416,θa:θi:an:θi:a:o,unknown,rejected
CIE 242,ΛA8Λ8:ΓΛMNA:OΛΛ,unknown,rejected
CIE 2426,ANIS:IAOЯOИ:IЯL:MЯN,unknown,rejected
CIE 2427,ANIS:IAOЯOИ:IЯL:MЯN,unknown,rejected
CIE 2428,ЯDЯAM,unknown,rejected
CIE 2429,INЯDAM:ЯJVA ALIЯOИЯA.,unknown,rejected
CIE 2431,JANЯMЯB:IMЯA M:ЯJVA,unknown,rejected
CIE 2432,MIH9AM:IVIAO,unknown,rejected
CIE 2433,V1:YV1IA9:I:M/,unknown,rejected
CIE 2434,A2IHD:9AM:12H9V1,unknown,rejected
CIE 2436,[IAH9V1:AHD9AN...],unknown,rejected
CIE 2437,MAI9TVAJ1:IHD9AM:VA,unknown,rejected
CIE 2438,A9A:IAH9AM:I9N/V.MA9C NAMAZIJAM,unknown,rejected
CIE 2439,HMAID:I9MVARN9V9,unknown,rejected
CIE 2447,a. asiminaus b. anivi:ianesitainaus,unknown,rejected
CIE 2454,larθi:maricane:ad | velsunias,unknown,rejected
CIE 2458,aule maruce arndal,unknown,rejected
CIE 2472,lθ: minia | xeritnal,unknown,rejected
CIE 2492,larθia·naria·caiaś|axual,unknown,rejected
CIE 2499,Janxvil:nui...,unknown,rejected
CIE 2504,a. IANAAO EVI2IA1 IH Iana|paisielti|ne b. ATAIAO IVVVII Iana paisileti,unknown,rejected
CIE 2506,IANIALA:VIVIA:O ia:papa:pupainal:,unknown,rejected
CIE 2507,MA1A1:IA2I9AN:IAO Ian:larisal:papas,unknown,rejected
CIE 2508,//PAPIRI.D.F. DOCIO //Papiri.D.f.|Docio,unknown,rejected
CIE 2509,OGA1:AIVA AI:MAIA aula:pari|anas:la,unknown,rejected
CIE 2510,VAHAJ2I+A1:9 A ar:patislane au,unknown,rejected
CIE 2511,IAYDHED:EMAI2I+A1:VA au:patislane:cencual,unknown,rejected
CIE 2512,IAVTEA:EMAI2I+A1:OA a[i:patislane:vetual,unknown,rejected
CIE 2515,AZIIMAIZITAI:ENQVI:AHAO,unknown,rejected
CIE 2517,ANISNA:ENAIZIIAI:OA,unknown,rejected
CIE 2518,PAZISNA:O:ZIIAIAN,unknown,rejected
CIE 2519,NTVAI:AN AIDEI,unknown,rejected
CIE 2520,MAIIEII:INTVAI:OIAI,unknown,rejected
CIE 2521,IANMMQH:ANΘIMQ.ΘI id:peiðna:fremnal,unknown,rejected
CIE 2527,Tania pednei raplnis plautial sec,unknown,rejected
CIE 2528,peinei pednas cainal,unknown,rejected
CIE 2529,lit: pedna: scire: herial:,unknown,rejected
CIE 2530,pedna: scire: ad: titial,unknown,rejected
CIE 2531,lit: peidna: titial,unknown,rejected
CIE 2532,pedna scire: fraunal,unknown,rejected
CIE 2533,frana: peidne: sciria: cencual: sec:,unknown,rejected
CIE 2534,reDeia: veDnas: alapu: raufe: fracnal: clan,unknown,rejected
CIE 2536,AMƎƧƧOƧM:AH MƎƧOƧ,unknown,rejected
CIE 2539,C.BAEBIVS L.F ARRESPEX,unknown,rejected
CIE 2540,C.BABIVS C.F ARHS,unknown,rejected
CIE 2541,ƧƎMƧVƎ:AИ:A:HƧI:OƧH I,unknown,rejected
CIE 2544,M·PESCENNIVS M·F MESSIA NATVS VIXIT ANNIS XXI,unknown,rejected
CIE 2545,VELEXXEX AP ANPEXEX,unknown,rejected
CIE 2551,[INVAX]·MEXANNIE·NINI,unknown,rejected
CIE 2552,ARVƧIA:RAV:VM:ATAMII:I:AIIAO,unknown,rejected
CIE 2553,LAVA:TƧIA:O:F,unknown,rejected
CIE 2554,FAHMA:VƧTƧI:O:F,unknown,rejected
CIE 2571,VQTHI:VA INOV:IM au:petruni:uclnial:,unknown,rejected
CIE 2572,"JHMVDA-----A:VA au:a.......vucunal JAIHJDV:ER:IHVHJI:VA au:petruni:[s]e:ucln[i]al,",unknown,rejected
CIE 2573,JANINAM-VA-INVHET-OA ab:petruni-au:maninal.,unknown,rejected
CIE 2574,NAQAHINDVR 9TOQJ:IVO AR fui:lart:petruni:larθalisa:,unknown,rejected
CIE 2575,PETRONIA.C.L. PRISCILLA. Petronia C.L. Priscilla.,unknown,rejected
CIE 2576,ANVA VDNAJθ aule[p]lancufre,unknown,rejected
CIE 2577,θDVHMANVθIθIθVA aule petr plancure,unknown,rejected
CIE 2599,:AIMI / ΣΘI:IOΘAИ,unknown,rejected
CIE 26,LIXƆƆ·LI9·LADƆ9Ɔ·2·AHƆIƆ·L,unknown,rejected
CIE 2600,:M A IMYMYF:AΘM ΣA9I:OΘAИ,unknown,rejected
CIE 2604,:HΣΘE9I:IOΘAИ,unknown,rejected
CIE 2605,:VAOAJ:YΣ9I:OΘAИ,unknown,rejected
CIE 261,ƎNƎM·AΘNA):IИO·ƆM,unknown,rejected
CIE 2616,IAN8VJV1 ANV+: VEA,unknown,rejected
CIE 2617,A18VA9:1M 8V1:OJ,unknown,rejected
CIE 2618,A21HJA1A9:1M8JV1,unknown,rejected
CIE 2619,AX1ANA9,unknown,rejected
CIE 262,IИAƧUƧVƎMVAJ IAN.ƆMƎJ,unknown,rejected
CIE 2620,1M8JV1 A2MH1H9A,unknown,rejected
CIE 2622,°21931:AN8JV1A9° °JAN1H9A -JAN1H9A | 21931:AN8JV1-V1,unknown,rejected
CIE 2623,JAV1MV1°219A1AN8JV1°OJ,unknown,rejected
CIE 2624,V1H:2V1H:O1!,unknown,rejected
CIE 263,VƎMƎJƎMƎM VƎIM,unknown,rejected
CIE 2636,VIILIZA POMPON. Veliza Pompon[ia],unknown,rejected
CIE 2638,ONTIA. FLORA H.S.E [P]ontia|Flora|h.s.e,unknown,rejected
CIE 264,AƧO AO VƎVAO,unknown,rejected
CIE 2640,HMLVA.L.NVI.OL l.p.pupli.l.aulstn,unknown,rejected
CIE 2641,LAHMVIER.OL l.p.pupli.l.setumnal,unknown,rejected
CIE 2644,AOIVIL:O/AAL lar:pupura|lar[al],unknown,rejected
CIE 2645,IAPIMI:A:O Ja:puprei,unknown,rejected
CIE 265,A·:ƎNƎJ·A JAIMOLA,unknown,rejected
CIE 2653,a) SEDRE. PU[S]CA. SEDRES b) SEDRE. PUSCA. SEDRES,unknown,rejected
CIE 266,ƎIƎCHƎ JAIMOLA,unknown,rejected
CIE 2663,AITHOAJIHMAQVA,unknown,rejected
CIE 2664,QLIMIAIA:IAZIOA,unknown,rejected
CIE 2665,AD RATUMNA CENQA,unknown,rejected
CIE 2666,MINIVIA:AIZYAQ,unknown,rejected
CIE 2667,AZAQO:RAUFIA:AHAO,unknown,rejected
CIE 2668,VOINAO MAZVAO ANIMA M,unknown,rejected
CIE 2669,A.M.DIZ.Q.A. IATINEM,unknown,rejected
CIE 267,ƎIƎCHƎJAIMOLA AMθNIAL-revine,unknown,rejected
CIE 2670,ZANIDIA:Q.A.I.Z.A.,unknown,rejected
CIE 2671,AZIJANRAA:IEMDIZ:IOAJ,unknown,rejected
CIE 2672,AHDIZ:AO,unknown,rejected
CIE 2676,MAIMNV:OR:ANΘM:ΘI,unknown,rejected
CIE 2677,MAIMNV:OR:ANΘM:ΘI,unknown,rejected
CIE 2678,AZLANZ:AIMMVD,unknown,rejected
CIE 2679,ZIRAZDANAMA:VIZIA,unknown,rejected
CIE 268,ƎIƎCHƎJAIMOLA,unknown,rejected
CIE 2680,AMIMVDV:AZEI1ZI:AMIMZNI,unknown,rejected
CIE 2681,A2A1T3A2:V2:AHEM39:J7,unknown,rejected
CIE 2682,N1ATVPIAM C:A2A1T3A2:OA:ANEM39:J7,unknown,rejected
CIE 2683,A2AHM:M:39:A1QVTAJ72:AHA0,unknown,rejected
CIE 2684,A1M19A0:A2:37:AHEM39:J37,unknown,rejected
CIE 2685,JAIN1KAJ EHEM39 AHA0,unknown,rejected
CIE 2687,JA1[10]9A]:1NEM39:J1,unknown,rejected
CIE 2690,qR·renxie,unknown,rejected
CIE 2691,renxiels:puia,unknown,rejected
CIE 27,XT·J19·AJDJ32·7A,unknown,rejected
CIE 2712,SABINIANI Sabiniani,unknown,rejected
CIE 2713,V·VA·V1A2·JE3 vel sapu·au·l,unknown,rejected
CIE 2717,A·Scandio Mvniatiae v[at(us)],unknown,rejected
CIE 272,ICINI C LICINI NIGRI,unknown,rejected
CIE 2720,IVEDS IANAQ ETUI VETESA,unknown,rejected
CIE 2721,L.DANTAM.Ś.AΘI.L.OΘ,unknown,rejected
CIE 2723,VΘI:AD:AΘIΘA,unknown,rejected
CIE 2727,seDRe|puiac,unknown,rejected
CIE 2728,seDria|capnas,unknown,rejected
CIE 2729,seDria:|fraucnis,unknown,rejected
CIE 2730,fasti:seDrnei:ucrislanes|a:,unknown,rejected
CIE 2731,seDrnei:afunas,unknown,rejected
CIE 2732,Hastia:Sethrnei Vibinnal,unknown,rejected
CIE 2733,Hastia:Sethrnei Vibinnal,unknown,rejected
CIE 2734,hasDi:setrni:velSusa,unknown,rejected
CIE 2736,Э∂VTAЯ.Э.ЭVОЭЯ.АJ,unknown,rejected
CIE 2737,MVJAAЯЯЯЯ.ОА,unknown,rejected
CIE 2739,AJTИAIЭЭ:ЭTИAIЭЭ:ОЭ AJ,unknown,rejected
CIE 2740,L.SEИTIO.PHOEBO,unknown,rejected
CIE 2741,L.SEИTIO.C.L.PHOEBO,unknown,rejected
CIE 2742,L.SEИTIVS.L.L.TELESPhORVS,unknown,rejected
CIE 2743,L.SEИTI.ИAS.OИIS.L.SCARIPH|,unknown,rejected
CIE 2744,velia.senti.tarxisa.,unknown,rejected
CIE 2772,ANΘRAMAΘRIVXΘAIAZ:AJ,unknown,rejected
CIE 2774,ΘMAIΘA:Z:JAVΘIΘ,unknown,rejected
CIE 2776,IΘMAIΘA:Z:AO,unknown,rejected
CIE 2777,ΘAM:ΘANAM:ΘA:Z:AΘINΘA:Z:AΘANΘAO,unknown,rejected
CIE 2778,I:Z:AΘM:ΘANAM:ΘA:Z:AΘIΘ:AO,unknown,rejected
CIE 2779,AΘMAOΘIΘZ:ΘANΘ,unknown,rejected
CIE 2780,IΘMAIΘA:Z:AΘINΘA:Z:AΘANΘAO,unknown,rejected
CIE 2789,MAINATAI.ZVDI:OIAMVNIZ,unknown,rejected
CIE 2790,M4V+:AINV34:IMAI32:AINAO,unknown,rejected
CIE 2794,*AINVHN32:AMAO A2AMO32,unknown,rejected
CIE 28,J19·V1R9J·2J,unknown,rejected
CIE 2802,Sex Sertorius | L.f. Sartages,unknown,rejected
CIE 281,OIAHME M.A,unknown,rejected
CIE 2811,a. vel:supluni b. larθi:atei,unknown,rejected
CIE 2815,IfMIfVO AfMfVfM AfZ,unknown,rejected
CIE 2816,fAITfAf fHfDf fA,unknown,rejected
CIE 282,VAAHME.VA ANAVV.391AB,unknown,rejected
CIE 2822,A·Tete | Philotimus,unknown,rejected
CIE 283,391AB.VA.AHME.M.I IAMVAV,unknown,rejected
CIE 284,IAVHEV.OVIDAEVA,unknown,rejected
CIE 2848,MƎJƎJƎA O.L.I.M.V.M.I.I.I.O,unknown,rejected
CIE 2850,HƎVƎJƎT.A.O IOMƎJƎƎIƎ VA I.I.O.M.JƎƎ M.T.V.T,unknown,rejected
CIE 2851,A.Z.A.M.I.T.V.T A.I.O.M.J.A.M.Z.V.Z.I.T.A.M.A.O,unknown,rejected
CIE 2852,V.A.J.Ǝ.J.I.I.Y.A.H.A.O,unknown,rejected
CIE 2854,L.A.O.M.H.A.A.T.I.L.I.O.M.H.A,unknown,rejected
CIE 2855,V.O.N.Q.A.A.T.I.T.I.T.V.A,unknown,rejected
CIE 286,HIAI.OIAI IADIDVO,unknown,rejected
CIE 2867,[....HH:ANΛO],unknown,rejected
CIE 2868,ΛZINΛVΛHH ANΛO,unknown,rejected
CIE 2869,IANΛIΛIΛINΛO,unknown,rejected
CIE 2870,ΛEM:IANΛVΛ:ΛZΛVΛH:ANΛO,unknown,rejected
CIE 2871,IMΛIKΛO,unknown,rejected
CIE 2873,MΛIΛ9Λ7.HΛI.HΛJ,unknown,rejected
CIE 2874,ΛZINΛVΛHΛ:ΛIΛOΛJ,unknown,rejected
CIE 2875,:MΛNΛHΛVΛT :HΛI:HΛI:OΛJ,unknown,rejected
CIE 2876,Ɔ.∃.M:IΛHΛ9MV:HΛI:HΛOΛJ,unknown,rejected
CIE 2878,-MVΛMVΛ.VΛ.ΛO9ΛJ:HΛI:H,unknown,rejected
CIE 2880,VAMIVV:VAOMIA:TITIT,unknown,rejected
CIE 2881,VAITIT:ATAMIV:OM9A,unknown,rejected
CIE 2883,9TH OI XH2I2I3I VI:8I,unknown,rejected
CIE 2885,VAMIMVT:IA:ADIMA:OA,unknown,rejected
CIE 2886,VEDINA:VA SAXO9T,unknown,rejected
CIE 2887,VAMITHE92:OI:EDIMAV9,unknown,rejected
CIE 2888,[VAMAR EDIMA:EHT:VEI],unknown,rejected
CIE 2899,laDi titi sc....,unknown,rejected
CIE 29,XIT·J19·JANDJ21V9·2J·1NMM9A·AJ,unknown,rejected
CIE 2907,larD : titial : tunial,unknown,rejected
CIE 2912,AIVIVΘVΘV:MIV:IΞIΘI:AMAO Θana:titi:nurziunia,unknown,rejected
CIE 2913,:AΞNAI:ΞIΘI:ONΘA arni:titi:panza,unknown,rejected
CIE 2915,IΘIΘ:IΘIΘAJ IMIΘAΘ larti:titi:sapini,unknown,rejected
CIE 2916,....ΞIΘ:AIVΘVΞ HH AMAO Θana titi secunia:ste:.......,unknown,rejected
CIE 2917,AƧIJA MƎV ƧƎIT·AINAAƧ·ITIT·ITƧA,unknown,rejected
CIE 2923,ƎIƎO·ƎHH·ƎƎ,unknown,rejected
CIE 2924,AININ·ANAOATƎNIƎ,unknown,rejected
CIE 2927,:HAƎO·VƎATIT·ƎNAOƎA,unknown,rejected
CIE 2935,Ar:Tibile:P:l,unknown,rejected
CIE 2938,JAIMHREN:AMLENTNA,unknown,rejected
CIE 2939,AMYSEJ:OJ JANHRA:OJ,unknown,rejected
CIE 2940,NLSNTNAINAO IR,unknown,rejected
CIE 2941,IEHSEJTNAINAO METVIR,unknown,rejected
CIE 2942,JAIMITAJ:VPLJ:AMLENTNA,unknown,rejected
CIE 2943,AMVLEJJAJNTTO,unknown,rejected
CIE 2944,:ALYLEJSIMHTAJ:IEHLEJTNAO,unknown,rejected
CIE 2945,ITLAS AITADJ:IEHLEJT ALAMHRMV,unknown,rejected
CIE 2946,AHARA:IEHLEJT:AHAO,unknown,rejected
CIE 2947,MOJAL:A12AE haspa:lavin | l9:clates,unknown,rejected
CIE 2948,ARANIGAMAS:ARNAONGA:ANISALR:ARNA arna:tlesna:arnPalisa:camarinesa,unknown,rejected
CIE 2950,IAJ8V1A2ESVAISANCAJ la:tlesna:claucesa:pulfnal,unknown,rejected
CIE 2951,b) V:IA:AH2EAVT:OA a) VAITNA:A2:A2A1A7 vl:papasa:seiantial ad:tlesna:vl:papasa:seiantial,unknown,rejected
CIE 2952,VJALM V2:V1:A2A1A1:V1 vl:papasa:se[ia]ntial,unknown,rejected
CIE 2953,IAH8V1OJ:A2A1A1:AM2EAVT:OA ad:tlesna:papasa:l9:pulfnal,unknown,rejected
CIE 296,LARΘI.PUMPU.XERITNAL,unknown,rejected
CIE 2965,AR.TRIBI.HISTRO,unknown,rejected
CIE 2972,A.Trebons,unknown,rejected
CIE 2973,Trebonia.P.f,unknown,rejected
CIE 2974,CELADVS TVRIAES FAVSTAES SER L. RVFRIVS,unknown,rejected
CIE 2975,ITVTAO AVHAE,unknown,rejected
CIE 2976,IAHINHV:TI HIO,unknown,rejected
CIE 2979,MANOENA:LENHV:ANAO,unknown,rejected
CIE 2980,INOAM:ENHV:AO,unknown,rejected
CIE 2991,LAITVASVININADZVI:LAIH+YTA,unknown,rejected
CIE 2992,//////////IIDZVI:AIIA,unknown,rejected
CIE 2993,IAIIVAOIADZVI:IAIIVT:AIIAO,unknown,rejected
CIE 2995,MAIITVT:DAI,unknown,rejected
CIE 2997,a) I9A:VMLT:AITVT:OII9A; b) AM:VT:OII9A,unknown,rejected
CIE 2999,lartia: tumu: qauxania.,unknown,rejected
CIE 30,AJD9A9J·J1R9D·A,unknown,rejected
CIE 3002,C. Tutilius | Philemo,unknown,rejected
CIE 3003,C. Tutiki | C. l. Philodami,unknown,rejected
CIE 3004,C. Tutilius L. f | Spaspo,unknown,rejected
CIE 3018,a) MARAΘUNAANAMVLA b) MAI,unknown,rejected
CIE 3021,M.VMBRICIVS·C·L·MENOMA,unknown,rejected
CIE 3022,VMBRICIA PHILAE𐌍IS,unknown,rejected
CIE 3023,AP𐌉𐌀𐌍𐌖𐌀𐌈·A𐌈·A𐌍𐌖·𐌏𐌀 M𐌍·OTACILIVS·RVFVS·VARIA·NATVS,unknown,rejected
CIE 3024,O𐌋·A𐌈A𐌍𐌖·O𐌋 ·MAI𐌍𐌄𐌈𐌖𐌌,unknown,rejected
CIE 3035,Larthia:Otanis,unknown,rejected
CIE 3036,Larthia Otanis,unknown,rejected
CIE 3037,laziu:ugle:ietis,unknown,rejected
CIE 3044,HAJ:JAITAIa 2:2 J:IMYA98:VA,unknown,rejected
CIE 3045,:JAHO21OA:IMD9A9 8:OA,unknown,rejected
CIE 3046,:JANOAI:IMD9A98:OA,unknown,rejected
CIE 3047,JAI9A:A9A9A:3:AISSAJ,unknown,rejected
CIE 3048,:LAIOI9MA:3:OHEI:IMYA9:8:OA,unknown,rejected
CIE 3049,AIOI9MA:IMDYA98:[A]I,unknown,rejected
CIE 3050,I:IMDYA98:J37:I,unknown,rejected
CIE 3051,HOVA9IMYA98:OA,unknown,rejected
CIE 3052,9A2OA9A 9819A8,unknown,rejected
CIE 3053,AZV+A1·A1398·A1AO,unknown,rejected
CIE 3054,...AO A193O MV+A1,unknown,rejected
CIE 3055,·I Y8O·3JYH,unknown,rejected
CIE 3056,[JANIT+Z·O]:VJVO:OΛ,unknown,rejected
CIE 3057,:ΛO?Λ9:INVVO:VΛJ,unknown,rejected
CIE 3058,LARTHI·HOLLON·RAVE·IA,unknown,rejected
CIE 3059,MINVVE·INVAI·O19Λ,unknown,rejected
CIE 3060,EDΛ9V8:J:VΛ,unknown,rejected
CIE 3061,:JΛHIΛ):MVJΛ:3Λ9V9:JΛ1,unknown,rejected
CIE 3064,Λ12ΛN8ΛN1IΛΛΛNΛO,unknown,rejected
CIE 3065,vi·xivi·piuθial,unknown,rejected
CIE 3069,IƎN2IADII A2VRA12 IANI1I7 a calismi | sp[as]pu[s]a | vipinal,unknown,rejected
CIE 3070,AIƜV2NAD A2I139+ calisunia | trepisa,unknown,rejected
CIE 3071,IƎNƜV+ A2ƎD2I7 tutne[i] | visces[a],unknown,rejected
CIE 3074,INTVAI:MIN8JA:8IVA,unknown,rejected
CIE 3075,8IN8JA:8V8E:IH+VAI:8DIMYIJT,unknown,rejected
CIE 3076,INTYAI:MIN8JA:8IHHAA,unknown,rejected
CIE 3077,AOMAQ,unknown,rejected
CIE 3078,M8JIH+H37:AOIN+VAI:AOMAQ,unknown,rejected
CIE 3079,YAN+X8O+AOIN+VAI+JAI+AIA2,unknown,rejected
CIE 3080,YAMAO+VD2E8IH+AOIN+VAI:M,unknown,rejected
CIE 3081,ATYV237I:IJ8H:IOAV,unknown,rejected
CIE 3082,LANIJAS AINAS,unknown,rejected
CIE 3083,ATVAJ ATIT INATV M AINAS AINAS,unknown,rejected
CIE 3084,MVJ37:J3:JNIJ:ANAO,unknown,rejected
CIE 3085,IM3VM:J3NIJ:D...,unknown,rejected
CIE 3086,INTRAJ:JATVAIJ:JATVAIJ,unknown,rejected
CIE 3087,INHAAJ..... MEJNI.....,unknown,rejected
CIE 3088,J3CVHA:J3:HADEJ:J:DINHVAJ,unknown,rejected
CIE 3089,2.9.IMHVAJ.A:J3I,unknown,rejected
CIE 3090,JAONJA I93H3:IMHVAJ,unknown,rejected
CIE 3094,AINOVI·VADAN,unknown,rejected
CIE 31,J11T·J19·2J·J1R17V2·V011,unknown,rejected
CIE 3102,[... . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ,unknown,rejected
CIE 3106,velxae ruy,unknown,rejected
CIE 3107,:aiavo:θi ary....,unknown,rejected
CIE 3108,--AID au:v...........cia...,unknown,rejected
CIE 3112,[al...θo...a...a]:a[i]nao θamia:la...a...θe...ia,unknown,rejected
CIE 3116,aθ:peθ|θuxia,unknown,rejected
CIE 3138,JAHI ...[c]ainal,unknown,rejected
CIE 3140,JA[M]M37 3H8!...7,unknown,rejected
CIE 3141,JA[N]D22A:22:A ...mes:vescnal,unknown,rejected
CIE 3142,JAHD9AOI////I//D///I//I,unknown,rejected
CIE 3143,IIII9:IHDV////,unknown,rejected
CIE 3144,JAV1M1V1M O:AJ la:i9.....ne pumpual,unknown,rejected
CIE 3146,JAV9A8IV ...cui farual,unknown,rejected
CIE 3148,:A2V9+31:2: / IIIIO 9an//////ei:petrusa:,unknown,rejected
CIE 3149,I & HV-M G M D,unknown,rejected
CIE 3150,A R V J ...i.clusa,unknown,rejected
CIE 3151,MHI9...MVIH.-N NAO,unknown,rejected
CIE 3152,S M·I O·B······I·,unknown,rejected
CIE 3155,M A I D····AM,unknown,rejected
CIE 3156,····A A I A I A O O··,unknown,rejected
CIE 3157,E ARRIA TREBO ET·C·AP,unknown,rejected
CIE 3159,POSTVMA,unknown,rejected
CIE 3162,A O,unknown,rejected
CIE 3177,V OII ME AN+,unknown,rejected
CIE 3187,VALXIM,unknown,rejected
CIE 3188,XXIX,unknown,rejected
CIE 3189,A1J.V.J.A T13.9OAJ.3 JDIMVM,unknown,rejected
CIE 3190,OVDE I.V....I-I NEI > ....MEMVNI |||||,unknown,rejected
CIE 3191,AID3I·AV,unknown,rejected
CIE 3194,4 IMAI9IЯ IMAI9I7X/,unknown,rejected
CIE 3195,Ɔ 1M : AИ VƆ9A : I23JIA ailesi : arcuna : Ƨec,unknown,rejected
CIE 3197,ЧЭЭЧЯIЯАЕƧ ƧIЯ.ЯЭJ ΛЯIƆ,unknown,rejected
CIE 3199,ЗAVЯAB ƆVƆMƎ ƧЯA,unknown,rejected
CIE 32,J1D9J2·2J·J1MDJ3J·D·J1,unknown,rejected
CIE 3205,HSIIMƎIIN ITI ƎHIIVƎMƎO,unknown,rejected
CIE 3206,ƎJƎODƎJ ƎJ ƎƎƎJ,unknown,rejected
CIE 3210,ƎYƎVƎTƎT H MIVƎ,unknown,rejected
CIE 3211,ƎYƎNƎMƎƎƎ ƎƎƎƎV,unknown,rejected
