id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality
1085,arnt zichn(i)al,arnt ziχn(i)al,𐌀𐌓𐌍𐌕 𐌆𐌉𐌙𐌍(𐌉)𐌀𐌋,arnt,mrs-fremrnis-daughtershusband,,,0.500,clean
1097,arnthial,arnθial,𐌀𐌓𐌍𐌈𐌉𐌀𐌋,arnθial,mrs-arnthis,,,1.000,clean
1098,ifi,ifi,𐌉𐌚𐌉,ifi,,,,1.000,clean
1111,salint(as),salint(as),𐌔𐌀𐌋𐌉𐌍𐌕(𐌀𐌔),,,,,0.000,clean
1114,furazni,furazni,𐌚𐌖𐌓𐌀𐌆𐌍𐌉,furazni,ms-furazni,,,1.000,clean
1118,acnaice(sa),acnaice(sa),𐌀𐌂𐌍𐌀𐌉𐌂𐌄(𐌔𐌀),,,,,0.000,clean
1119,nitruta,nitruta,𐌍𐌉𐌕𐌓𐌖𐌕𐌀,nitruta,,,,1.000,clean
1122,teti(al),teti(al),𐌕𐌄𐌕𐌉(𐌀𐌋),,,,,0.000,clean
1124,arnthialisa,arnθialisa,𐌀𐌓𐌍𐌈𐌉𐌀𐌋𐌉𐌔𐌀,arnθialisa,aulnies,,,1.000,clean
1130,sethre,seθre,𐌔𐌄𐌈𐌓𐌄,seθre,mr-sethre,,,1.000,clean
3759,larthvelimnasaules,larθvelimnasaules,𐌋𐌀𐌓𐌈𐌅𐌄𐌋𐌉𐌌𐌍𐌀𐌔𐌀𐌖𐌋𐌄𐌔,larθvelimnasaules,,,,1.000,clean
3766,caiai(alisa) larn(i)al tetal(ie)s(a),caiai(alisa) larn(i)al tetal(ie)s(a),𐌂𐌀𐌉𐌀𐌉(𐌀𐌋𐌉𐌔𐌀) 𐌋𐌀𐌓𐌍(𐌉)𐌀𐌋 𐌕𐌄𐌕𐌀𐌋(𐌉𐌄)𐌔(𐌀),,,,,0.000,clean
3768,vitli(alisa),vitli(alisa),𐌅𐌉𐌕𐌋𐌉(𐌀𐌋𐌉𐌔𐌀),,,,,0.000,clean
3777,ceisi(al),ceisi(al),𐌂𐌄𐌉𐌔𐌉(𐌀𐌋),,,,,0.000,clean
3779,larthi l(a)utni(al),larθi l(a)utni(al),𐌋𐌀𐌓𐌈𐌉 𐌋(𐌀)𐌖𐌕𐌍𐌉(𐌀𐌋),larθi,,,,0.500,clean
3784,larvipiupelsipetrnal,larvipiupelsipetrnal,𐌋𐌀𐌓𐌅𐌉𐌐𐌉𐌖𐌐𐌄𐌋𐌔𐌉𐌐𐌄𐌕𐌓𐌍𐌀𐌋,larvipiupelsipetrnal,,,,1.000,clean
1155,anvai,anvai,𐌀𐌍𐌅𐌀𐌉,anvai,of-mrs-anva,,,1.000,clean
1163,seiantial,seiantial,𐌔𐌄𐌉𐌀𐌍𐌕𐌉𐌀𐌋,seiantial,,,,1.000,clean
1167,plautri(e)sa,plautri(e)sa,𐌐𐌋𐌀𐌖𐌕𐌓𐌉(𐌄)𐌔𐌀,,mrs-patunis-daughters-husband,,,0.000,clean
1169,aniusa,aniusa,𐌀𐌍𐌉𐌖𐌔𐌀,aniusa,,,,1.000,clean
1188,a(rn)th fraucni(al) raufe(s),a(rn)θ fraucni(al) raufe(s),𐌀(𐌓𐌍)𐌈 𐌚𐌓𐌀𐌖𐌂𐌍𐌉(𐌀𐌋) 𐌓𐌀𐌖𐌚𐌄(𐌔),,,,,0.000,clean
1189,ca(es),ca(es),𐌂𐌀(𐌄𐌔),,mr-fraucnies-daughtershusband,,,0.000,clean
1190,larcna(s),larcna(s),𐌋𐌀𐌓𐌂𐌍𐌀(𐌔),,,,,0.000,clean
1193,sepiesa ucumzn(i)al,sepiesa ucumzn(i)al,𐌔𐌄𐌐𐌉𐌄𐌔𐌀 𐌖𐌂𐌖𐌌𐌆𐌍(𐌉)𐌀𐌋,sepiesa,,,,0.500,clean
1195,a(rn)th remzna zuchn(i)al,a(rn)θ remzna zuχn(i)al,𐌀(𐌓𐌍)𐌈 𐌓𐌄𐌌𐌆𐌍𐌀 𐌆𐌖𐌙𐌍(𐌉)𐌀𐌋,remzna,,,,0.333,clean
1200,scirias,scirias,𐌔𐌂𐌉𐌓𐌉𐌀𐌔,scirias,mr-sinu,,,1.000,clean
1205,acilusa,acilusa,𐌀𐌂𐌉𐌋𐌖𐌔𐌀,acilusa,,,,1.000,clean
1206,velsi(al),velsi(al),𐌅𐌄𐌋𐌔𐌉(𐌀𐌋),,mr-thastia,,,0.000,clean
1808,afuna,afuna,𐌀𐌚𐌖𐌍𐌀,afuna,,,,1.000,clean
3788,vetlneitrazlus,vetlneitrazlus,𐌅𐌄𐌕𐌋𐌍𐌄𐌉𐌕𐌓𐌀𐌆𐌋𐌖𐌔,vetlneitrazlus,,,,1.000,clean
3796,pumpusnute,pumpusnute,𐌐𐌖𐌌𐌐𐌖𐌔𐌍𐌖𐌕𐌄,pumpusnute,mr-pumpumr-snutes,,,1.000,clean
3798,snute,snute,𐌔𐌍𐌖𐌕𐌄,snute,,,,1.000,clean
3818,alcla,alcla,𐌀𐌋𐌂𐌋𐌀,alcla,mrs-cuethnis,,,1.000,clean
3826,arnthial,arnθial,𐌀𐌓𐌍𐌈𐌉𐌀𐌋,arnθial,,,,1.000,clean
3828,larthial,larθial,𐌋𐌀𐌓𐌈𐌉𐌀𐌋,larθial,mr-larthmr-acsies,,,1.000,clean
1215,seianti(alisa),seianti(alisa),𐌔𐌄𐌉𐌀𐌍𐌕𐌉(𐌀𐌋𐌉𐌔𐌀),,imr-larthiamrs-seiantisdaughters-husbandmrs-sinunismr-svenias,,,0.000,clean
1220,thania cuizlania(s),θania cuizlania(s),𐌈𐌀𐌍𐌉𐌀 𐌂𐌖𐌉𐌆𐌋𐌀𐌍𐌉𐌀(𐌔),θania,,,,0.500,clean
1223,l(ar)th,l(ar)θ,𐌋(𐌀𐌓)𐌈,,son,,,0.000,clean
1224,tutn(i)al,tutn(i)al,𐌕𐌖𐌕𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1232,larza,larza,𐌋𐌀𐌓𐌆𐌀,larza,mr-little-larth,,,1.000,clean
1235,sinunas,sinunas,𐌔𐌉𐌍𐌖𐌍𐌀𐌔,sinunas,mr-sinunas,,,1.000,clean
1236,thania tetasa,θania tetasa,𐌈𐌀𐌍𐌉𐌀 𐌕𐌄𐌕𐌀𐌔𐌀,θania tetasa,,,,1.000,clean
1237,l(ar)th melutn(i)al,l(ar)θ melutn(i)al,𐌋(𐌀𐌓)𐌈 𐌌𐌄𐌋𐌖𐌕𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1238,urinatesa,urinatesa,𐌖𐌓𐌉𐌍𐌀𐌕𐌄𐌔𐌀,urinatesa,mrs-melutneis-sons-wife,,,1.000,clean
1244,thania fusui(al) cestnasa,θania fusui(al) cestnasa,𐌈𐌀𐌍𐌉𐌀 𐌚𐌖𐌔𐌖𐌉(𐌀𐌋) 𐌂𐌄𐌔𐌕𐌍𐌀𐌔𐌀,θania cestnasa,,,,0.667,clean
1258,th(an)a tutnei(al),θ(an)a tutnei(al),𐌈(𐌀𐌍)𐌀 𐌕𐌖𐌕𐌍𐌄𐌉(𐌀𐌋),,,,,0.000,clean
1259,thania tutnei(al),θania tutnei(al),𐌈𐌀𐌍𐌉𐌀 𐌕𐌖𐌕𐌍𐌄𐌉(𐌀𐌋),θania,,,,0.500,clean
1260,ernth,ernθ,𐌄𐌓𐌍𐌈,ernθ,,,,1.000,clean
1268,thania remznei(al) felesa,θania remznei(al) felesa,𐌈𐌀𐌍𐌉𐌀 𐌓𐌄𐌌𐌆𐌍𐌄𐌉(𐌀𐌋) 𐌚𐌄𐌋𐌄𐌔𐌀,θania felesa,,,,0.667,clean
1269,felesa,felesa,𐌚𐌄𐌋𐌄𐌔𐌀,felesa,,,,1.000,clean
2648,purnas,purnas,𐌐𐌖𐌓𐌍𐌀𐌔,purnas,mr-lartthe-nameless-slavegirls,,,1.000,clean
3830,arnth,arnθ,𐌀𐌓𐌍𐌈,arnθ,mr-arnthmr-acsiesdaughters-husbandmrthethures,,,1.000,clean
3832,larthi(alisa),larθi(alisa),𐌋𐌀𐌓𐌈𐌉(𐌀𐌋𐌉𐌔𐌀),,,,,0.000,clean
3833,palpe,palpe,𐌐𐌀𐌋𐌐𐌄,palpe,mrs-arnthis-daughters-husband,,,1.000,clean
3840,arnth veti(al),arnθ veti(al),𐌀𐌓𐌍𐌈 𐌅𐌄𐌕𐌉(𐌀𐌋),arnθ,,,,0.500,clean
3844,marcnei(alisa),marcnei(alisa),𐌌𐌀𐌓𐌂𐌍𐌄𐌉(𐌀𐌋𐌉𐌔𐌀),,,,,0.000,clean
3867,slaithes(a),slaiθes(a),𐌔𐌋𐌀𐌉𐌈𐌄𐌔(𐌀),,,,,0.000,clean
3886,arnti(al),arnti(al),𐌀𐌓𐌍𐌕𐌉(𐌀𐌋),,,,,0.000,clean
3893,arza veti(al),arza veti(al),𐌀𐌓𐌆𐌀 𐌅𐌄𐌕𐌉(𐌀𐌋),arza,,,,0.500,clean
3894,navesial,navesial,𐌍𐌀𐌅𐌄𐌔𐌉𐌀𐌋,navesial,,,,1.000,clean
3899,petsn(i)al,petsn(i)al,𐌐𐌄𐌕𐌔𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
3900,vezi(al),vezi(al),𐌅𐌄𐌆𐌉(𐌀𐌋),,,,,0.000,clean
3908,se(th),se(θ),𐌔𐌄(𐌈),,mr-sethaflemr-larissmr-fastias-daughters-husbandmrs-fustneimrs-arznismr-aitus,,,0.000,clean
ETP 329,mi • selvansl • canlas,mi • selvansl • canlas,𐌌𐌉 • 𐌔𐌄𐌋𐌅𐌀𐌍𐌔𐌋 • 𐌂𐌀𐌍𐌋𐌀𐌔,mi selvansl canlas,I (belong) to Selvans Canla.,400.0,400.0,1.000,clean
1274,teuci(al),teuci(al),𐌕𐌄𐌖𐌂𐌉(𐌀𐌋),,,,,0.000,clean
1280,a(rn)th tumiltni(al),a(rn)θ tumiltni(al),𐌀(𐌓𐌍)𐌈 𐌕𐌖𐌌𐌉𐌋𐌕𐌍𐌉(𐌀𐌋),,,,,0.000,clean
1290,fapi(al),fapi(al),𐌚𐌀𐌐𐌉(𐌀𐌋),,mr-aulemrs-fapis,,,0.000,clean
1298,c(aii),c(aii),𐌂(𐌀𐌉𐌉),,quintustitiussrabliomrcaiussson,,,0.000,clean
1299,tiusa,tiusa,𐌕𐌉𐌖𐌔𐌀,tiusa,mrs-fermneis,,,1.000,clean
1303,tiuza,tiuza,𐌕𐌉𐌖𐌆𐌀,tiuza,,,,1.000,clean
1304,thanas(a),θanas(a),𐌈𐌀𐌍𐌀𐌔(𐌀),,mr-little-tiu,,,0.000,clean
1305,tetina,tetina,𐌕𐌄𐌕𐌉𐌍𐌀,tetina,mr-larthtetinamrs-arnthisdaughters-husbandmrs-,,,1.000,clean
3909,fustn(i)al,fustn(i)al,𐌚𐌖𐌔𐌕𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
393,vestrnaisa,vestrnaisa,𐌅𐌄𐌔𐌕𐌓𐌍𐌀𐌉𐌔𐌀,vestrnaisa,mr-arnthmrs-velchatinis,,,1.000,clean
394,vestrn(i)alisa,vestrn(i)alisa,𐌅𐌄𐌔𐌕𐌓𐌍(𐌉)𐌀𐌋𐌉𐌔𐌀,,mr-arnthvelchatinis,,,0.000,clean
1438,c(aii),c(aii),𐌂(𐌀𐌉𐌉),,mr-caiusvensiusmr-caiussson,,,0.000,clean
3942,larthi ancari(al) upelsi(e)s,larθi ancari(al) upelsi(e)s,𐌋𐌀𐌓𐌈𐌉 𐌀𐌍𐌂𐌀𐌓𐌉(𐌀𐌋) 𐌖𐌐𐌄𐌋𐌔𐌉(𐌄)𐌔,larθi,,,,0.333,clean
3944,setri(al) ar(nthus),setri(al) ar(nθus),𐌔𐌄𐌕𐌓𐌉(𐌀𐌋) 𐌀𐌓(𐌍𐌈𐌖𐌔),,,,,0.000,clean
395,vestrn(i)al(i)sa,vestrn(i)al(i)sa,𐌅𐌄𐌔𐌕𐌓𐌍(𐌉)𐌀𐌋(𐌉)𐌔𐌀,,,,,0.000,clean
3956,calisn(i)al,calisn(i)al,𐌂𐌀𐌋𐌉𐌔𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
396,nal,nal,𐌍𐌀𐌋,nal,,,,1.000,clean
1355,rathmsn(i)al,raθmsn(i)al,𐌓𐌀𐌈𐌌𐌔𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1357,th(an)a tlesnei(al),θ(an)a tlesnei(al),𐌈(𐌀𐌍)𐌀 𐌕𐌋𐌄𐌔𐌍𐌄𐌉(𐌀𐌋),,mr-thanamrs-tlesneismr-ferinies-daughters-husband,,,0.000,clean
1389,l(ar)th,l(ar)θ,𐌋(𐌀𐌓)𐌈,,mr-larthetruscamrs-larthismr-arnths,,,0.000,clean
1394,arnth(i)al pulfnas,arnθ(i)al pulfnas,𐌀𐌓𐌍𐌈(𐌉)𐌀𐌋 𐌐𐌖𐌋𐌚𐌍𐌀𐌔,pulfnas,,,,0.500,clean
1398,clatpalci(al),clatpalci(al),𐌂𐌋𐌀𐌕𐌐𐌀𐌋𐌂𐌉(𐌀𐌋),,,,,0.000,clean
1414,mutu(i)al,mutu(i)al,𐌌𐌖𐌕𐌖(𐌉)𐌀𐌋,,,,,0.000,clean
1421,(nefts),(nefts),(𐌍𐌄𐌚𐌕𐌔),,sentia,,,0.000,clean
1422,cumerusia(s),cumerusia(s),𐌂𐌖𐌌𐌄𐌓𐌖𐌔𐌉𐌀(𐌔),,mr-cumerusias,,,0.000,clean
1427,a(rn)th cumere,a(rn)θ cumere,𐌀(𐌓𐌍)𐌈 𐌂𐌖𐌌𐌄𐌓𐌄,cumere,,,,0.500,clean
1429,tutnei(al),tutnei(al),𐌕𐌖𐌕𐌍𐌄𐌉(𐌀𐌋),,mr-veliamrs-tutneismr-cumerus-daughtershusband,,,0.000,clean
1431,tlesnei(alisa) cumeresa,tlesnei(alisa) cumeresa,𐌕𐌋𐌄𐌔𐌍𐌄𐌉(𐌀𐌋𐌉𐌔𐌀) 𐌂𐌖𐌌𐌄𐌓𐌄𐌔𐌀,cumeresa,mrs-fastimrs-tlesneis-sonswifemr-cumeres-sons-wife,,,0.500,clean
1433,clepatras,clepatras,𐌂𐌋𐌄𐌐𐌀𐌕𐌓𐌀𐌔,clepatras,clepatras,,,1.000,clean
3960,larthi puia tites,larθi puia tites,𐌋𐌀𐌓𐌈𐌉 𐌐𐌖𐌉𐌀 𐌕𐌉𐌕𐌄𐌔,larθi puia tites,mrs-larthimrs-vipis-sonswifewifeof-mr-tite,,,1.000,clean
3975,anein{ }ei(al) farui(alisa),anein{ }ei(al) farui(alisa),𐌀𐌍𐌄𐌉𐌍{ }𐌄𐌉(𐌀𐌋) 𐌚𐌀𐌓𐌖𐌉(𐌀𐌋𐌉𐌔𐌀),,,,,0.000,clean
1447,venza,venza,𐌅𐌄𐌍𐌆𐌀,venza,mr-venzaumranamrs-,,,1.000,clean
1455,purnei,purnei,𐌐𐌖𐌓𐌍𐌄𐌉,purnei,mrs-purnei,,,1.000,clean
1458,larzile,larzile,𐌋𐌀𐌓𐌆𐌉𐌋𐌄,larzile,mr-little-larth,,,1.000,clean
1459,th(an)a setumnei(al) pumpuni(e)sa,θ(an)a setumnei(al) pumpuni(e)sa,𐌈(𐌀𐌍)𐌀 𐌔𐌄𐌕𐌖𐌌𐌍𐌄𐌉(𐌀𐌋) 𐌐𐌖𐌌𐌐𐌖𐌍𐌉(𐌄)𐌔𐌀,,,,,0.000,clean
1460,l(ar)th tlesna,l(ar)θ tlesna,𐌋(𐌀𐌓)𐌈 𐌕𐌋𐌄𐌔𐌍𐌀,tlesna,mr-larthtlesnamrs-larthismrs-clantis,,,0.500,clean
1462,thania velsi(al) tlesnasa,θania velsi(al) tlesnasa,𐌈𐌀𐌍𐌉𐌀 𐌅𐌄𐌋𐌔𐌉(𐌀𐌋) 𐌕𐌋𐌄𐌔𐌍𐌀𐌔𐌀,θania tlesnasa,mr-thaniamrs-velsismr-tlesnas-daughters-husband,,,0.667,clean
1468,a(rn)th arntni(al),a(rn)θ arntni(al),𐌀(𐌓𐌍)𐌈 𐌀𐌓𐌍𐌕𐌍𐌉(𐌀𐌋),,mr-caiusarriusmr-caiussson,,,0.000,clean
1469,arntni(nial,arntni(nial,𐌀𐌓𐌍𐌕𐌍𐌉(𐌍𐌉𐌀𐌋,,mr-arnthof-the-arniensistribemrs-arris,,,0.000,clean
1473,laut(nitha),laut(niθa),𐌋𐌀𐌖𐌕(𐌍𐌉𐌈𐌀),,,,,0.000,clean
1478,resciunia(s),resciunia(s),𐌓𐌄𐌔𐌂𐌉𐌖𐌍𐌉𐌀(𐌔),,,,,0.000,clean
1484,falsnesa,falsnesa,𐌚𐌀𐌋𐌔𐌍𐌄𐌔𐌀,falsnesa,,,,1.000,clean
1486,th(a)ns(ia)l,θ(a)ns(ia)l,𐌈(𐌀)𐌍𐌔(𐌉𐌀)𐌋,,,,,0.000,clean
1487,ferclite,ferclite,𐌚𐌄𐌓𐌂𐌋𐌉𐌕𐌄,ferclite,,,,1.000,clean
1495,auntn(i)al,auntn(i)al,𐌀𐌖𐌍𐌕𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1500,vecui(al),vecui(al),𐌅𐌄𐌂𐌖𐌉(𐌀𐌋),,,,,0.000,clean
1501,alfni(al),alfni(al),𐌀𐌋𐌚𐌍𐌉(𐌀𐌋),,ms-larthi,,,0.000,clean
1513,arnthialisa,arnθialisa,𐌀𐌓𐌍𐌈𐌉𐌀𐌋𐌉𐌔𐌀,arnθialisa,,,,1.000,clean
3978,vezial,vezial,𐌅𐌄𐌆𐌉𐌀𐌋,vezial,,,,1.000,clean
3983,s(eth) elith(a),s(eθ) eliθ(a),𐌔(𐌄𐌈) 𐌄𐌋𐌉𐌈(𐌀),,mr-sethelithamrs-vanisson,,,0.000,clean
3985,aruseri(alisa),aruseri(alisa),𐌀𐌓𐌖𐌔𐌄𐌓𐌉(𐌀𐌋𐌉𐌔𐌀),,,,,0.000,clean
1528,tetinasa,tetinasa,𐌕𐌄𐌕𐌉𐌍𐌀𐌔𐌀,tetinasa,mr-thaniamrs-tutneismrs-pulfnis-daughters-husband,,,1.000,clean
1529,tetinas lautni(al),tetinas lautni(al),𐌕𐌄𐌕𐌉𐌍𐌀𐌔 𐌋𐌀𐌖𐌕𐌍𐌉(𐌀𐌋),tetinas,,,,0.500,clean
1532,celmnei(al),celmnei(al),𐌂𐌄𐌋𐌌𐌍𐌄𐌉(𐌀𐌋),,mr-little-vel,,,0.000,clean
1536,zuchn(i)al,zuχn(i)al,𐌆𐌖𐌙𐌍(𐌉)𐌀𐌋,,velche,,,0.000,clean
1537,laristnei(al),laristnei(al),𐌋𐌀𐌓𐌉𐌔𐌕𐌍𐌄𐌉(𐌀𐌋),,mr-thanamrs-laristneismr-ravfes,,,0.000,clean
1552,turke,turke,𐌕𐌖𐌓𐌊𐌄,turke,saplthnagave,,,1.000,clean
1555,vanin(i)al,vanin(i)al,𐌅𐌀𐌍𐌉𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1560,th(an)a varnei(al) tetasa,θ(an)a varnei(al) tetasa,𐌈(𐌀𐌍)𐌀 𐌅𐌀𐌓𐌍𐌄𐌉(𐌀𐌋) 𐌕𐌄𐌕𐌀𐌔𐌀,tetasa,,,,0.333,clean
1562,thania teti(al),θania teti(al),𐌈𐌀𐌍𐌉𐌀 𐌕𐌄𐌕𐌉(𐌀𐌋),θania,,,,0.500,clean
1568,ufalesa,ufalesa,𐌖𐌚𐌀𐌋𐌄𐌔𐌀,ufalesa,,,,1.000,clean
1569,ativu,ativu,𐌀𐌕𐌉𐌅𐌖,ativu,his-own--mr-rive--relatives-daughters-husband,,,1.000,clean
1573,toceronia,toceronia,𐌕𐌏𐌂𐌄𐌓𐌏𐌍𐌉𐌀,toceronia,mrs-thanusa,,,1.000,clean
1576,vetn(i)al,vetn(i)al,𐌅𐌄𐌕𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1580,ancarialisa,ancarialisa,𐌀𐌍𐌂𐌀𐌓𐌉𐌀𐌋𐌉𐌔𐌀,ancarialisa,,,,1.000,clean
1582,haerinna,haerinna,𐌇𐌀𐌄𐌓𐌉𐌍𐌍𐌀,haerinna,mr-quintushaerinnamr-,,,1.000,clean
1586,tanvsa,tanvsa,𐌕𐌀𐌍𐌅𐌔𐌀,tanvsa,mrs-tanusa,,,1.000,clean
1588,murinei(al),murinei(al),𐌌𐌖𐌓𐌉𐌍𐌄𐌉(𐌀𐌋),,,,,0.000,clean
1599,a(rn)th(us),a(rn)θ(us),𐌀(𐌓𐌍)𐌈(𐌖𐌔),,,,,0.000,clean
3991,se(th) casni(al),se(θ) casni(al),𐌔𐌄(𐌈) 𐌂𐌀𐌔𐌍𐌉(𐌀𐌋),,,,,0.000,clean
3994,sethre casni(al),seθre casni(al),𐌔𐌄𐌈𐌓𐌄 𐌂𐌀𐌔𐌍𐌉(𐌀𐌋),seθre,,,,0.500,clean
4001,puiac,puiac,𐌐𐌖𐌉𐌀𐌂,puiac,mr-aulemr-petrucasnies,,,1.000,clean
1607,pupainai(al),pupainai(al),𐌐𐌖𐌐𐌀𐌉𐌍𐌀𐌉(𐌀𐌋),,mr-thaniamr-aules,,,0.000,clean
1610,varnei(al),varnei(al),𐌅𐌀𐌓𐌍𐌄𐌉(𐌀𐌋),,,,,0.000,clean
1612,ar(nthus),ar(nθus),𐌀𐌓(𐌍𐌈𐌖𐌔),,,,,0.000,clean
1616,riti,riti,𐌓𐌉𐌕𐌉,riti,,,,1.000,clean
1617,vetna,vetna,𐌅𐌄𐌕𐌍𐌀,vetna,mr-larthvetnrana,,,1.000,clean
1624,pe(tru) v(elu)z,pe(tru) v(elu)z,𐌐𐌄(𐌕𐌓𐌖) 𐌅(𐌄𐌋𐌖)𐌆,,mr-petrumr-velsmrsthanismrs-thankvils-,,,0.000,clean
1628,regv(la),regv(la),,,mr-luciusplotiusregulamraulusssonof-the-arniensistribe,,,0.000,clean
1629,l(ar)th(us){----------},l(ar)θ(us){----------},𐌋(𐌀𐌓)𐌈(𐌖𐌔){----------},,,,,0.000,clean
14882,arzna,arzna,𐌀𐌓𐌆𐌍𐌀,arzna,,,,1.000,clean
1639,l(a)r(is) pu(rnial),l(a)r(is) pu(rnial),𐌋(𐌀)𐌓(𐌉𐌔) 𐌐𐌖(𐌓𐌍𐌉𐌀𐌋),,,,,0.000,clean
1641,svenias,svenias,𐌔𐌅𐌄𐌍𐌉𐌀𐌔,svenias,,,,1.000,clean
1649,clute(sa),clute(sa),𐌂𐌋𐌖𐌕𐌄(𐌔𐌀),,mr-nunias,,,0.000,clean
1650,sepiasa,sepiasa,𐌔𐌄𐌐𐌉𐌀𐌔𐌀,sepiasa,ms-avlimr-acliniesslavegirl,,,1.000,clean
1655,athnu(sa),aθnu(sa),𐌀𐌈𐌍𐌖(𐌔𐌀),,,,,0.000,clean
1658,athnu(sa),aθnu(sa),𐌀𐌈𐌍𐌖(𐌔𐌀),,,,,0.000,clean
1665,aluni(ial),aluni(ial),𐌀𐌋𐌖𐌍𐌉(𐌉𐌀𐌋),,,,,0.000,clean
1674,alfiae,alfiae,𐌀𐌋𐌚𐌉𐌀𐌄,alfiae,,,,1.000,clean
1675,achlesa,aχlesa,𐌀𐌙𐌋𐌄𐌔𐌀,aχlesa,,,,1.000,clean
1688,anainai,anainai,𐌀𐌍𐌀𐌉𐌍𐌀𐌉,anainai,of-ms-anaina,,,1.000,clean
1692,ancari(alisa),ancari(alisa),𐌀𐌍𐌂𐌀𐌓𐌉(𐌀𐌋𐌉𐌔𐌀),,,,,0.000,clean
4007,aclinei(al),aclinei(al),𐌀𐌂𐌋𐌉𐌍𐌄𐌉(𐌀𐌋),,,,,0.000,clean
4009,aritha(s),ariθa(s),𐌀𐌓𐌉𐌈𐌀(𐌔),,mr-sethre,,,0.000,clean
2199,xx,xx,𐌗𐌗,xx,mr-thaniavipinamrs-arnthismr-pupumpnas,,,1.000,clean
402,asate(sa) atain(i)al,asate(sa) atain(i)al,𐌀𐌔𐌀𐌕𐌄(𐌔𐌀) 𐌀𐌕𐌀𐌉𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
4024,atnei(al),atnei(al),𐌀𐌕𐌍𐌄𐌉(𐌀𐌋),,,,,0.000,clean
406,mi arunth{ }i{ }a(s),mi arunθ{ }i{ }a(s),𐌌𐌉 𐌀𐌓𐌖𐌍𐌈{ }𐌉{ }𐌀(𐌔),mi,imr-arunthiakusiunas,,,0.250,clean
4062,arnth patruni(al),arnθ patruni(al),𐌀𐌓𐌍𐌈 𐌐𐌀𐌕𐌓𐌖𐌍𐌉(𐌀𐌋),arnθ,mr-arnthmrs-patrunismr-lariss,,,0.500,clean
4073,arnthtantli------,arnθtantli------,𐌀𐌓𐌍𐌈𐌕𐌀𐌍𐌕𐌋𐌉------,,mr-arnthmr-tantlies,,,0.000,clean
4078,cuspi(alisa),cuspi(alisa),𐌂𐌖𐌔𐌐𐌉(𐌀𐌋𐌉𐌔𐌀),,,,,0.000,clean
4079,vafruni(e)s,vafruni(e)s,𐌅𐌀𐌚𐌓𐌖𐌍𐌉(𐌄)𐌔,,,,,0.000,clean
1702,larcan(i)al,larcan(i)al,𐌋𐌀𐌓𐌂𐌀𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1709,larthi felzumnati(al) aniesa,larθi felzumnati(al) aniesa,𐌋𐌀𐌓𐌈𐌉 𐌚𐌄𐌋𐌆𐌖𐌌𐌍𐌀𐌕𐌉(𐌀𐌋) 𐌀𐌍𐌉𐌄𐌔𐌀,larθi aniesa,,,,0.667,clean
1710,arnth anie carcu(s) anies(a),arnθ anie carcu(s) anies(a),𐌀𐌓𐌍𐌈 𐌀𐌍𐌉𐌄 𐌂𐌀𐌓𐌂𐌖(𐌔) 𐌀𐌍𐌉𐌄𐌔(𐌀),arnθ anie,,,,0.500,clean
1736,arnth(i)alisa,arnθ(i)alisa,𐌀𐌓𐌍𐌈(𐌉)𐌀𐌋𐌉𐌔𐌀,,mrs-arnthis-sons-wife,,,0.000,clean
1739,atain(i)al,atain(i)al,𐌀𐌕𐌀𐌉𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1740,v(e)l(ia) thans(i)es,v(e)l(ia) θans(i)es,𐌅(𐌄)𐌋(𐌉𐌀) 𐌈𐌀𐌍𐌔(𐌉)𐌄𐌔,,,,,0.000,clean
1777,saein(i)al,saein(i)al,𐌔𐌀𐌄𐌉𐌍(𐌉)𐌀𐌋,,,,,0.000,clean
1780,restumn(i)al(isasa),restumn(i)al(isasa),𐌓𐌄𐌔𐌕𐌖𐌌𐌍(𐌉)𐌀𐌋(𐌉𐌔𐌀𐌔𐌀),,,,,0.000,clean
1781,atainei,atainei,𐌀𐌕𐌀𐌉𐌍𐌄𐌉,atainei,,,,1.000,clean
1784,velus(a),velus(a),𐌅𐌄𐌋𐌖𐌔(𐌀),,,,,0.000,clean
1795,frauni(e)s(a),frauni(e)s(a),𐌚𐌓𐌀𐌖𐌍𐌉(𐌄)𐌔(𐌀),,mr-little-arnth,,,0.000,clean
2317,fulni(al),fulni(al),𐌚𐌖𐌋𐌍𐌉(𐌀𐌋),,ms-fusunei,,,0.000,clean
4082,c(v)el(suial),c(v)el(suial),𐌂(𐌅)𐌄𐌋(𐌔𐌖𐌉𐌀𐌋),,of-the-goddess-cvelsui,,,0.000,clean
4083,maalnas,maalnas,𐌌𐌀𐌀𐌋𐌍𐌀𐌔,maalnas,,,,1.000,clean
